
 PLE train 1.00 lambda 

El 390: loss 30.9577, tacc 25.1497, cvacc 25.6570
El 391: loss 30.4427, tacc 24.5767, cvacc 24.3138
El 392: loss 31.4371, tacc 25.5125, cvacc 24.2090
El 393: loss 31.0215, tacc 25.2626, cvacc 25.6079
El 394: loss 30.6349, tacc 24.6463, cvacc 24.3054
El 395: loss 31.0372, tacc 25.2467, cvacc 24.1533
           Current learning rate 4.4200e-03
El 396: loss 31.8598, tacc 25.8796, cvacc 24.3528
El 397: loss 29.4437, tacc 23.6444, cvacc 24.1533
El 398: loss 30.4074, tacc 24.5935, cvacc 24.3357
El 399: loss 31.6294, tacc 25.6392, cvacc 24.7501
El 400: loss 30.2790, tacc 24.4571, cvacc 24.2105
El 401: loss 30.3762, tacc 24.5767, cvacc 24.3489
El 402: loss 31.8448, tacc 26.0555, cvacc 24.1125
           Current learning rate 4.2432e-03
El 403: loss 31.9476, tacc 26.1900, cvacc 24.9692
El 404: loss 30.0453, tacc 24.1945, cvacc 24.1567
El 405: loss 30.0785, tacc 23.9241, cvacc 24.4368
El 406: loss 30.8356, tacc 25.0591, cvacc 24.2027
El 407: loss 30.5559, tacc 24.8582, cvacc 24.6262
El 408: loss 28.3406, tacc 22.5641, cvacc 24.2172
El 409: loss 32.1287, tacc 26.3405, cvacc 24.4946
El 410: loss 32.0879, tacc 26.2030, cvacc 25.0444
El 411: loss 31.5813, tacc 25.7901, cvacc 24.3268
El 412: loss 32.2435, tacc 26.3620, cvacc 25.1291
El 413: loss 28.5510, tacc 22.8131, cvacc 24.0879
El 414: loss 31.5619, tacc 25.8425, cvacc 24.7840
El 415: loss 28.9694, tacc 23.2119, cvacc 24.2908
El 416: loss 28.9887, tacc 23.1476, cvacc 24.2233
El 417: loss 30.7943, tacc 25.0578, cvacc 24.0856
El 418: loss 32.0611, tacc 25.8270, cvacc 26.8954
El 419: loss 28.9803, tacc 23.0830, cvacc 24.1007
El 420: loss 30.4752, tacc 24.7241, cvacc 24.2245
El 421: loss 30.6604, tacc 24.9235, cvacc 24.2671
El 422: loss 31.1670, tacc 25.4690, cvacc 24.0877
El 423: loss 30.5292, tacc 24.7694, cvacc 24.1027
El 424: loss 30.2210, tacc 24.5522, cvacc 24.5681
El 425: loss 30.8963, tacc 24.7174, cvacc 24.2745
El 426: loss 30.2464, tacc 24.5291, cvacc 24.4888
El 427: loss 30.3123, tacc 24.6505, cvacc 25.6057
El 428: loss 31.3674, tacc 25.6261, cvacc 24.1717
El 429: loss 30.1677, tacc 24.4576, cvacc 24.8748
El 430: loss 31.7529, tacc 26.1436, cvacc 25.0556
El 431: loss 28.6540, tacc 22.9738, cvacc 24.1236
El 432: loss 31.1037, tacc 25.2445, cvacc 24.2275
El 433: loss 30.7016, tacc 25.0277, cvacc 24.0721
El 434: loss 30.1842, tacc 24.4910, cvacc 24.4927
El 435: loss 30.1892, tacc 24.4541, cvacc 24.2186
El 436: loss 28.0002, tacc 22.3370, cvacc 24.0832
El 437: loss 28.9842, tacc 23.2021, cvacc 24.1274
El 438: loss 31.1782, tacc 25.5128, cvacc 24.0997
